athlete,country
Queralt CASTELLET,Spain
Ruki TOMITA,Japan
Berenice WICKI,Switzerland
Kamilla KOZUBACK,Hungary
Chloe KIM,United States of America
Leilani ETTEL,Germany
Leng QIU,China
Tessa MAUD,United States of America
Shaotong WU,China
Elizabeth HOSKING,Canada
Mitsuki ONO,Japan
Na-Yoon LEE,Republic of Korea
Zoe KALAPOS,United States of America
Brooke DHONDT,Canada
Sena TOMITA,Japan
Sarka PANCOCHOVA,Czech Republic
Jenise SPITERI,Malta
Maddie MASTRO,United States of America
Jiayu LIU,China
Kurumi IMAI,Japan
Nick BAUMGARTNER,United States of America
Lindsey JACOBELLIS,United States of America
Omar VISINTIN,Italy
Michela MOIOLI,Italy
Eliot GRONDIN,Canada
Meryeta ODINE,Canada
Lorenzo SOMMARIVA,Italy
Caterina CARPANO,Italy
Martin NOERL,Germany
Jana FISCHER,Germany
Huw NIGHTINGALE,Great Britain
Charlotte BANKES,Great Britain
Kalle KOBLET,Switzerland
Sophie HEDIGER,Switzerland
Daniil DONSKIKH,ROC
Kristina PAUL,ROC
Cameron BOLTON,Australia
Belle BROCKHOFF,Australia
Liam MOFFATT,Canada
Tess CRITCHLOW,Canada
Loan BOZZOLO,France
Julia PEREIRA DE SOUSA MABILEAU,France
Jake VEDDER,United States of America
Faye GULINI,United States of America
Alessandro HAEMMERLE,Austria
Pia ZERKHOLD,Austria
Merlin SURGET,France
Chloe TRESPEUCH,France
Adam LAMBERT,Australia
Josie BAFF,Australia
Francesca GALLINA,Italy
Meghan TIERNEY,United States of America
Sofia BELINGHERI,Italy
Yuka NAKAMURA,Japan
He FENG,China
Sina SIEGENTHALER,Switzerland
Vendula HOPJAKOVA,Czech Republic
Stacy GASKILL,United States of America
Alexia QUEYREL,France
Audrey MCMANIMAN,Canada
Zoe BERGERMANN,Canada
Mariia VASILTCOVA,ROC
Manon PETIT LENOIR,France
Maeva ESTEVEZ,Andorra
Ekaterina LOKTEVA-ZAGORSKAIA,ROC
Aleksandra PARSHINA,ROC
Lara CASANOVA,Switzerland
Dmitriy KARLAGACHEV,ROC
Stefan BAUMEISTER,Germany
Oskar KWIATKOWSKI,Poland
Elias HUBER,Germany
Roland FISCHNALLER,Italy
Nevin GALMARINI,Switzerland
Sebastien BEAULIEU,Canada
Zan KOSIR,Slovenia
Gian CASANOVA,Switzerland
Vic WILD,ROC
Cody WINTERS,United States of America
Andrey SOBOLEV,ROC
Jules LEFEBVRE,Canada
Daniele BAGOZZA,Italy
Ye BI,China
Sangho LEE,Republic of Korea
Benjamin KARL,Austria
Yannik ANGENEND,Germany
Tim MASTNAK,Slovenia
Rok MARGUC,Slovenia
Alexander PAYER,Austria
Andreas PROMMEGGER,Austria
Dmitry LOGINOV,ROC
Sangkyum KIM,Republic of Korea
Radoslav YANKOV,Bulgaria
Lukas MATHIES,Austria
Arnaud GAUDET,Canada
Dario CAVIEZEL,Switzerland
Mirko FELICETTI,Italy
Robert BURNS,United States of America
Edwin CORATTI,Italy
Michal NOWACZYK,Poland
Julia MARINO,United States of America
Reira IWABUCHI,Japan
Evy POPPE,Belgium
Kokomo MURASE,Japan
Zoi SADOWSKI SYNNOTT,New Zealand
Katie ORMEROD,Great Britain
Ekaterina KOSOVA,ROC
Urska PRIBOSIC,Slovenia
Jasmine BAIRD,Canada
Tess COADY,Australia
Hanne EILERTSEN,Norway
Jamie ANDERSON,United States of America
Carola NIEMELAE,Finland
Enni RUKAJARVI,Finland
Anna GASSER,Austria
Lucile LEFEVRE,France
Melissa PEPERKAMP,Netherlands
Laurie BLOUIN,Canada
Annika MORGAN,Germany
Ariane BURRI,Switzerland
Hailey LANGLAND,United States of America
Courtney RUMMEL,United States of America
Bianca GISLER,Switzerland
Miyabi ONITSUKA,Japan
Lea JUGOVAC,Croatia
Brooke VOIGT,Canada
Ge RONG,China
Klaudia MEDLOVA,Slovakia
Adam DICKSON,Australia
Hagen KEARNEY,United States of America
Glenn BLOIS DE,Netherlands
Kevin HILL,Canada
Jakob DUSEK,Austria
Radek HOUSER,Czech Republic
Jarryd HUGHES,Australia
Mick DIERDORFF,United States of America
Tommaso LEONI,Italy
Filippo FERRARI,Italy
Umito KIRCHWEHM,Germany
Yoshiki TAKAHARA,Japan
Julian LUEFTNER,Austria
Paul BERG,Germany
Lukas PACHNER,Austria
Leo LE BLE JAQUES,France
Lucas EGUIBAR,Spain
Chris CORNING,United States of America
Staale SANDBECH,Norway
Niklas MATTSSON,Sweden
Max PARROT,Canada
Leon VOCKENSPERGER,Germany
Kaito HAMADA,Japan
Tiarn COLLINS,New Zealand
Hiroaki KUNITAKE,Japan
Marcus KLEVELAND,Norway
Vlad KHADARIN,ROC
Sean FITZSIMONS,United States of America
Niek VELDEN VAN DER,Netherlands
Rene RINNEKANGAS,Finland
Matthew COX,Australia
Sebastien TOUTANT,Canada
Mark MCMORRIS,Canada
Mons ROISLAND,Norway
Jonas BOESIGER,Switzerland
Takeru OTSUKA,Japan
Ruki TOBITA,Japan
Emiliano LAUZI,Italy
Yiming SU,China
Redmond GERARD,United States of America
Darcy SHARPE,Canada
Kalle JARVILEHTO,Finland
Clemens MILLAUER,Austria
Sven THORGREN,Sweden
Nicolas HUBER,Switzerland
Dusty HENRICKSEN,United States of America
Noah VICKTOR,Germany
Louis Philip VITO III,Italy
Liam GILL,Canada
Jan SCHERRER,Switzerland
Liam TOURKI,France
David HABLUETZEL,Switzerland
Chase JOSEY,United States of America
Tit STANTE,Slovenia
Lucas FOSTER,United States of America
Taylor GOLD,United States of America
Chaeun LEE,Republic of Korea
Ruka HIRANO,Japan
Ayumu HIRANO,Japan
Ziyang WANG,China
Yuto TOTSUKA,Japan
Ao GU,China
Shaun WHITE,United States of America
Valentino GUSELI,Australia
Scotty JAMES,Australia
Hongbo GAO,China
Lorenzo GENNERO,Italy
Seamus O CONNOR,Ireland
Kaishu HIRANO,Japan
