athlete,country
Michele RICHARDSON,United States of America
Karen WARD,Canada
Rosa FUENTES,Mexico
Amy Lee WHITE,United States of America
Torri Leigh TREES,United States of America
Sofia KRAFT,Sweden
Melinda COPP,Canada
Glenn BUCHANAN,Australia
Bengt BARON,Sweden
David LOPEZ-ZUBERO PURCELL,Spain
Kees VERVOORN,Netherlands
Matthew D. GRIBBLE,United States of America
Ian COLLINS,Great Britain
Hrvoje BARIC,Yugoslavia
Allan MARSH,Jamaica
Ahmed EID,Egypt
Adel AL-GHAITH,Kuwait
Esa FADEL,Bahrain
George Thomas DICARLO,United States of America
John Cary MYKKANEN,United States of America
Ron MCKEON,Australia
Juan Enrique ESCALAS BESTARD,Spain
Stefano GRANDI,Italy
David SHEMILT,Canada
Marc VAN DE WEGHE,Belgium
Anders GRILLHAMMAR,Sweden
Alejandro M. LECOT,Argentina
Keisuke OKUNO,Japan
Ahmet NAKKAS,Turkey
Chun-Hong LIN,Chinese Taipei
Wayne SHILLINGTON,Australia
David STACEY,Great Britain
Bernard VOLZ,Canada
Richard John CAREY,United States of America
David Dennis WILSON,United States of America
Michael WEST,Canada
Gary HURRING,New Zealand
Mark KERRY,Australia
David ORBELL,Australia
Stefan PETER,Federal Republic of Germany
Ricardo ALDABE MORENO,Spain
Hans FREDIN,Sweden
Frederic DELCOURT,France
Paolo FALCHINI,Italy
Fabrizio BORTOLON,Italy
Giovanni FRIGO,Venezuela
Sharif NOUR,Egypt
Zhongyi LI,China
Hugo GOOSSEN,Suriname
Salvador SALGUERO GOODALL,El Salvador
Catherine POIROT,France
Eva-Marie HAKANSSON,Sweden
Angelika KNIPPING,Federal Republic of Germany
Lisa BORSHOLT,Canada
Carlotta TAGNIN,Italy
Sandra BOWMAN,Great Britain
Wei-Fen LIANG,China
Karen PHILLIPS,Australia
Naoko KUME,Japan
Jill HORSTEAD,Canada
Cameron HENNING,Canada
Michael SODERLUND,Sweden
Djan GARRIDO MADRUGA,Brazil
Kim TERRELL,Australia
Gordon PETERSEN,Fiji
Suzanne LANDELLS,Australia
Susan HEON,United States of America
Nathalie GINGRAS,Canada
Monika BAYER,Austria
Jay GLASER,United States of America
Christopher CAIRNS,Australia
John Scott ANDERSON,Australia
Alan BURLAND,Bermuda
Christopher NASH,Bermuda
David CAMPBELL-JAMES,Great Britain
Glenn HAYNES,Brazil
Bernard PICHERY,France
Brian SWEENEY,Canada
Krister SODERQVIST,Sweden
Hubert LAMBRIEX,Netherlands
Walter SCHLAGBAUER,Austria
Eckart KAPHENGST,Federal Republic of Germany
Hans-Friedrich BÖSE,Federal Republic of Germany
Christoph BRULLMANN,Switzerland
Rolf ZWICKY,Switzerland
Martin B. FERRARI,Argentina
Sergio Hugo SINISTRI,Argentina
Juha VALTANEN,Finland
Pekka NARKO,Finland
Halvor SMITH,Norway
Per FERSKAUG,Norway
Enrique DIAZ,Puerto Rico
Bruce HEWETT,Fiji
Anthony Colin S:R PHILP,Fiji
Aleksandr CAYKOVSKI,Turkey
Ertugul OZKAN,Turkey
Randal Scott STEELE,United States of America
Gildas GUILLEROT,France
Klaus MARAN,Italy
Bjorn EYBL,Austria
Peter BONELLO,Malta
Hans NYSTROM,Sweden
Svein Askland RASMUSSEN,Norway
Eduardo BELLINI FERRER,Spain
Yehuda ATEDJI,Israel
Dusan PUH,Yugoslavia
Tsutomu SATO,Japan
Mauricio TOSCANO,Mexico
Eric GRAVELINE,Canada
David HACKFORD,Great Britain
Jose MONTEIRO,Portugal
Marcus ERZBERGER,Switzerland
Qing-Cai TANG,China
Kelly CHAN,Singapore
Hubert WATLINGTON,Bermuda
Policarpio ORTEGA,Philippines
Flavio PELLICCIONI,San Marino
Inigo ROSS,Antigua and Barbuda
Lee-Keung CHOI,Hong Kong
Antonio ESTEBAN,Dominican Republic
Thomas NISBET,Bahamas
William Carl Jr. BUCHAN,United States of America
Evert BASTET,Canada
Terence MCLAUGHLIN,Canada
Jonathan RICHARDS,Great Britain
Jacob Bojsen MOLLER,Denmark
Eckart DIESCH,Federal Republic of Germany
Jörg DIESCH,Federal Republic of Germany
Bengt HAGANDER,Sweden
Magnus KJELL,Sweden
David MACKAY,New Zealand
Lucas CARTER,New Zealand
Alejandro ABASCAL GARCIA,Spain
Thierry POIREY,France
Bertrand CARDIS,Switzerland
Rainer FROHLICH,Switzerland
James COOK,Australia
Robert WILMOT,Australia
Gerhard PANUSCHKA,Austria
Manfred PANUSCHKA,Austria
Arnaldo RABAGO,Mexico
Guillermo TAPIA,Mexico
Karen MORCH,Canada
Anne GARDNER-NELSON,United States of America
Andrea LIVINGSTON,United States of America
Melanie BRAUND,Australia
Paola TOSCHI,Italy
Cheri SWATEK,United States of America
Sarah KENNEY,Australia
Midori MATSUNAGA,Japan
Kathy ROSS,Canada
Kazuyo KAWAHARA,Japan
Hiromi HABINO,Japan
Jolanda DE JONG,Netherlands
Ase JAENSSON,Sweden
Lisa PENFIELD-EDWARDS,US Virgin Islands
Heidi SCHAAKE,Netherlands
Russell COUTTS,New Zealand
John Joseph BERTRAND,United States of America
Terence NEILSON,Canada
Joaquin BLANCO,Spain
Wolfgang GERZ,Federal Republic of Germany
Ingvar BENGTSSON,Sweden
Esko RECHARDT,Finland
Juan MAEGLI,Guatemala
Jean Marc HOLDER,Trinidad and Tobago
Philippe WILLEMS,Belgium
Guy GROSSMITH,Zimbabwe
Arshad CHOUDHRY,Pakistan
Guang-Ming TU,China
David ASHBY,Fiji
Derek HUDSON,Botswana
Nasser KARAM,Egypt
Steven Richard ERICKSON,United States of America
William E. Sr. BUCHAN,United States of America
Joachim GRIESE,Federal Republic of Germany
Michael MARCOUR,Federal Republic of Germany
Henrik EYERMANN,Sweden
Kent CARLSSON,Sweden
Karl FERSTL,Austria
Antonio GOROSTEGUI CEBALLOS,Spain
Boudewijn BINKHORST,Netherlands
Willem VAN WALT MEIJER,Netherlands
Iain WOOLWARD,Great Britain
John Leyshon MADDOCKS,Great Britain
Montague Roscoe HIGGS,Bahamas
Richard COXON,Australia
Eduardo De Souza SOUZA,Brazil
Roberto Luiz SOUZA,Brazil
Witold GESING,Canada
Josef STEINMAYER,Switzerland
Reto HEILIG,Switzerland
Christian FLEBBE ROEGLIM,Venezuela
John DREW BEAR,Venezuela
Carlos ROSSI,Chile
Rodrigo ZWAZOLA,Chile
Antonio Mardel CORREIA,Portugal
Bruce BAYLEY,Barbados
Roberto MOLINA CARRASCO,Spain
Hans Christopher STEINFELD,United States of America
Stephen Delancey BENJAMIN,United States of America
Tommaso CHIEFFI,Italy
Catherine FOSTER,Great Britain
Peter NEWLANDS,Great Britain
Eytan FRIDLANDER,Israel
Shimshon BRUKMAN,Israel
Guido ALKEMADE,Netherlands
John STAVENUITER,Netherlands
Gonzalo HEREDIA,Argentina
Satoru YAMAMOTO,Japan
Yutaka TAKAGI,Japan
Marco Antonio PARADEDA,Brazil
Rolf NEHN,Brazil
Sean REEVES,New Zealand
Martin TENHOVE,Canada
Dan LOVEN,Sweden
Magnus HOLMBERG,Sweden
Dhruv BHANDARI,India
Alberto GONZALEZ,Chile
Juan BARAHONA,Chile
Kui-Aon LIM,Chinese Taipei
Yal-Aon LIM,Chinese Taipei
Alejandro TERRONES,Mexico
Hermann MERGENTHALER,Mexico
Christopher TILLETT,Australia
Richard LUMB,Australia
Jon PETURSSON,Iceland
Kai-Ping ZHENG,China
Xian-Yuan XU,China
Keith BARKER,British Virgin Islands
Peter BARKER,British Virgin Islands
Erik ZUCKER,US Virgin Islands
Trace TERVO,US Virgin Islands
Ranil DIAS,Sri Lanka
Bruce WYLIE,Australia
Darren HAMM,United States of America
Frank PAILLET,France
Paul ECKERT,United States of America
Karl NELSON,United States of America
Tsunemoto ISHIWATA,Japan
Tatsuro MAEJI,Japan
Atsushi TSUCHIVA,Japan
Maurizio LOI,Italy
Erik VAN DEN BERG,Netherlands
Marcel LAMMERS,France
Joan VAN MARKEN,Netherlands
Ingamay BYLUND,Sweden
Herbert KRUG,Federal Republic of Germany
Uwe SAUER,Federal Republic of Germany
Christopher BARTLE,Great Britain
Hilda Carolyn GURNEY,United States of America
Alojz LAH,Yugoslavia
Alexandra PFLUEGER-CLARKE,United States of America
Bonny CHESSON,Canada
Torben Ulso OLSEN,Denmark
Dusan MAVEC,Yugoslavia
Jane BARTLE-WILSON,Great Britain
Amy Catherine DE BARY,Switzerland
Johanna RUTTEN,Netherlands
Peter EBINGER,Austria
Christa WINKEL,Austria
Marie-Louise Dagmar CASTENSKIOLD,Denmark
Stojan MODERC,Yugoslavia
Cristobal EGERSTROM,Mexico
Mariam CUNNINGHAM,Peru
Margarita NAVA,Mexico
Libby HERNANDEZ,Puerto Rico
Osamu NAKAMATA,Japan
Manuel CID,Mexico
Nobutada HIROMATSU,Japan
Brigite MORILLO,Ecuador
Margaret MCIVER,Australia
Michel BERTRANEAU,France
Michael Earle STORM,United States of America
Paul FOUR,France
Pasi HULKKONEN,Finland
Didier BOUBE,France
Pier Paolo CRISTOFORI,Italy
Robert Gregory LOSEY,United States of America
Achim BELLMANN,Federal Republic of Germany
Dean William GLENESK,United States of America
Peter MINDER,Switzerland
Michael REHBEIN,Federal Republic of Germany
Jorma KORPELA,Finland
Michael MUMFORD,Great Britain
Eduardo BURGUETE BABI,Spain
Christian SANDOW,Federal Republic of Germany
Shoji UCHIDA,Japan
Hiroyuki KAWAZOE,Japan
Martin LAMPRECHT,Sweden
Matthew SPIES,Australia
Michael BILLWEIN,Austria
Ihab EL LEBEDY,Egypt
Federico CALERA FERNANDEZ,Spain
Jussi Antti PELLI,Finland
Samy AWAD,Egypt
Stephen SOWERBY,Great Britain
Ahmed NASSER,Egypt
Nabeel Saleh MUBARAK,Bahrain
Gun-Il KIM,Republic of Korea
Daizou ARAKI,Japan
Kung-Liang CHEN,Chinese Taipei
Daniel ESPOSITO,Australia
Ingo PEIRITS,Austria
Horst STOCKER,Austria
Edward J. LIDDIE,United States of America
Guy DELVINGT,France
Felice MARIANI,Italy
Luiz Juniti JUNITI SHINOHARA,Brazil
Joao NEVES,Portugal
Peter JUPKE,Federal Republic of Germany
Eddy KOAZ,Israel
Gino CIAMPA,Australia
Abdelhamid SLIMANI,Morocco
Jorge Omar DI NOCCO,Argentina
Chin-Fu CHAU,Chinese Taipei
Rafael GONZALEZ DE LA VERA,Mexico
James MAFUTA,Zambia
Christian NKAMGANG,Cameroon
Djibril SALL,Senegal
Luen-Lin YEUNG,Hong Kong
Ronny SANABRIA,Costa Rica
Anders HELLQVIST,Sweden
Michel ESTEPHAN,Lebanon
Michel NOWAK,France
Mircea FRATICA,Romania
Hiromitsu TAKANO,Japan
Robert HENNEVELD,Netherlands
Brett Dewey BARRON,United States of America
Gaston OULA,Ivory Coast
Suheyl YESILNUR,Turkey
Antonio ROQUETTE ANDRADE,Portugal
Ousseynou GUEYE-EL HADJI,Senegal
Seppo MYLLYLA,Finland
Per KJELLIN,Sweden
Jules Albert NDEMBA,Cameroon
Abdoulaye DIALLO,Guinea
Ignacio SANZ PAZ,Spain
Rogerio SANTOS,Brazil
Ioannis KOUYIALIS,Cyprus
Yih-Shong SUN,Chinese Taipei
Sad AL-TUBAIKH,Kuwait
Moshe PONTE,Israel
Asafu TEMBO,Zambia
Paul DIOP,Mali
Thomas HAASMANN,Austria
Christophe WOGO,Congo
Mohamed MAACH,Morocco
Javier CONDOR,Costa Rica
Fridtjof THOEN,Norway
Chung-Tai LI,Hong Kong
Jin-Soo HWANG,Republic of Korea
Yoshiyuki MATSUOKA,Japan
Jun-Oh HWANG,Republic of Korea
Sandro ROSATI,Italy
Stephen GAWTHORPE,Great Britain
Sergio SANO,Brazil
Constantin CONSTANTIN,Romania
Franc OCKO,Yugoslavia
Lucas CHANSON,Switzerland
Bienvenu MBIDA,Congo
Bradley W. FARROW,Canada
Jimmi AREVALO,Ecuador
Alfredo CHINCHILLA,Norway
James ROHLEDER,Federal Republic of Germany
Mohamed SOUBEI,Egypt
Rui ROSA,Portugal
Gerardo PADILLA,Mexico
Jesskiel BICKIDICK,Cameroon
Max NARVAEZ,Paraguay
Jihad EL ACHKAR,Lebanon
Luis SEQUERA VERA,Venezuela
Francisco RODRIGUEZ,Spain
Edgar CLAURE,Bolivia
Craig John AGENA,United States of America
Andres SANCHO,Costa Rica
Hidetoshi NAKANISHI,Japan
Kieran FOLEY,Ireland
Serge DYOT,France
Der-Cheng LIAW,Chinese Taipei
Hassan BEN GAMRA,Tunisia
Shaun OLEARY,New Zealand
Jousry ZAGLOUL,Egypt
Frank EVENSEN,Norway
Michael YOUNG,Australia
Alvaro SANABRIA,Costa Rica
Antti HYVARINEN,Finland
Vojo VUJEVIC,Yugoslavia
Ibrahima DIALLO,Senegal
Alick KALWIHZI,Zambia
Angelo PARISI,France
Marc BERGER,Canada
Radomir KOVACEVIC,Yugoslavia
Douglas Edward NELSON,United States of America
Sherif EL DIGWY,Egypt
Isidore SILAS,Cameroon
Desiderio LEBRON,Dominican Republic
Wilhelmus WILHELM,Netherlands
Fernando FERREIROS,Peru
Hugo Ricardo ANDERSON,Argentina
Seiki NOSE,Japan
Stanko LOPATIC,Yugoslavia
Shou-Chung CHANG,Chinese Taipei
Kyung-Ho PARK,Republic of Korea
Michel GRANT,Sweden
Eduardo NOVOA,Chile
Alfonso GARCIA ORTIZ,Spain
Hamza DOUBLALI,Morocco
Seraphin OKUAKA,Congo
Andrew RICHARDSON,Australia
Clement NZALI,Cameroon
Alejandro R. STRATICO,Argentina
Mario VECCHI,Italy
Jose O. FUENTES,Puerto Rico
Yasuhiro YAMASHITA,Japan
Mihai CIOC,Romania
Arthur SCHNABEL,Federal Republic of Germany
Laurent DEL COLOMBO,France
Bechir KIIARI,Tunisia
Fred BLANEY,Canada
Sang Ryul KIM,Republic of Korea
Dewey MITCHELL,United States of America
Paul RADBURN,Great Britain
Kolbeinn GISLASSON,Iceland
Douglas VIEIRA,Brazil
Günther NEUREUTHER,Federal Republic of Germany
Abdoul Khadre DAFFE,Senegal
Masato MIHARA,Japan
John E. ADAMS,Dominican Republic
Alberto RUBIO SEBASTIAN,Spain
Nicholas KOKOTAYLO,Great Britain
Essambo EWANE,Cameroon
Robert KOSTENBERGER,Austria
Tareq AL-GHAREEB,Kuwait
Carsten JENSEN,Denmark
Abdel Majid SENOUSSI,Tunisia
Fabian Luis LANNUTTI,Argentina
Metin ORGARUN,Turkey
Connie CARPENTER,United States of America
Sandra SCHUMACHER,Federal Republic of Germany
Helle SORENSEN,Denmark
Ute ENZENAUER,Federal Republic of Germany
Luisa SEGHEZZI,Italy
Janelle PARKS,United States of America
Catherine SWINNERTON,Great Britain
Dominique DAMIANI,France
Kristina RANUDD,Sweden
Tuulikki JAHRE,Sweden
Linda GORNALL,Great Britain
Nina M. SOBY,Norway
Hege STENDAHL,Norway
Marielle GUICHARD,France
Marie Claude AUDET,Canada
Johanna HACK,Austria
Karen STRONG-HEARTH,Canada
Leontine VAN DER LIENDEN,Netherlands
Muriel SHARP,Great Britain
Kathlyn RAGG,Fiji
Gabriele ALTWECK,Federal Republic of Germany
Emanuela MENUZZO,Italy
Xiu-Li WANG,China
Henny TOP,Netherlands
Hilde DOBIASCH,Austria
Theodora VAN RIJNSOEVER,Netherlands
Wakako ABE,Japan
Eun-Suk CHOI,Republic of Korea
Yak-Sun SON,Republic of Korea
Merilyn PHILLIPS,Cayman Islands
Alexi S. GREWAL,United States of America
Dag Otto LAURITZEN,Norway
Morten SATHER,Norway
Davis Welsh PHINNEY,United States of America
Thurlow Thomas ROGERS,United States of America
Bojan ROPRET,Yugoslavia
Nestor MORA,Colombia
Ronald Alexander KIEFEL,United States of America
Richard TRINKLER,Switzerland
Raul ALCALA,Mexico
Stefan MAURER,Switzerland
Alberto VOLPI,Italy
Per CHRISTIANSSON,Sweden
Helmut WECHSELBERGER,Austria
Atle KVAALSVOLL,Norway
Fabio PARRA,Colombia
Thomas FREIENSTEIN,Federal Republic of Germany
Francisco ANTEQUERA ALABAU,Spain
Per Johnny PEDERSEN,Denmark
Lars WAHLQVIST,Sweden
Paul KIMMAGE,Ireland
Daniel AMARDEILH,France
Philippe BOUVATIER,France
Kjell NILSSON,Sweden
Harry HANNUS,Finland
Stefan BRYKT,Sweden
Louis GARNEAU,Canada
Kurt ZELLHOFER,Austria
Primoz CERIN,Yugoslavia
Achim STADLER,Federal Republic of Germany
Stephen Clifford COX,New Zealand
Patrick Rafael WACKSTROM,Finland
Gary THOMSON,Ireland
Kim Jolin ERIKSEN,Denmark
Werner STAUFF,Federal Republic of Germany
Jure PAVLIC,Yugoslavia
Seamus DOWNEY,Ireland
Jean-Paul VAN POPPEL,Netherlands
Matsuyoshi TAKAHASHI,Japan
Marko CUDERMAN,Yugoslavia
Salvador RIOS,Mexico
Se-Yong PARK,Republic of Korea
Johann TRAXLER,Austria
Jeffrey LESLIE,Australia
Fernando CORREA,Venezuela
Carlos JARAMILLO,Colombia
Mustapha NAJJARI,Morocco
Michael LYNCH,Australia
Luis Alberto BIERA,Argentina
Gary TROWELL,Australia
Paul POPP,Austria
Carlo BOMANS,Belgium
Ronny VAN SWEEVELT,Belgium
Frank VERLEYEN,Belgium
John FORD,Bermuda
Earl GODFREY,Bermuda
Clyde WILSON,Bermuda
Joslyn CHAVARRIA,Belize
Warren COYE,Belize
Lindford GILLITT,Belize
Wernell RENEAU,Belize
Craig Tyrone MERREN,Cayman Islands
David DIBBEN,Cayman Islands
Alfred William EBANKS,Cayman Islands
Aldyn WINT,Cayman Islands
Manuel ARAVENA,Chile
Roberto MUNOZ,Chile
Alain AYISSI,Cameroon
Joseph KONO,Cameroon
Dieudonne NTEP,Cameroon
Thomas SIANI,Cameroon
Rogelio ARANGO,Colombia
Spyros AGROTIS,Cyprus
Ole BYRIEL,Denmark
Soren LILHOLT,Denmark
Manuel Jorge DOMINGUEZ,Spain
Jose Salvador SANCHIS TORMO,Spain
Harri HEDGREN,Finland
Denis PELIZZARI,France
Andreas KAPPES,Federal Republic of Germany
Mark BELL,Great Britain
Neil MARTIN,Great Britain
Peter SANDERS,Great Britain
Darryl WEBSTER,Great Britain
Kanellos KANELLOPOULOS,Greece
Ilias KELISIDIS,Greece
Randolph TOUSSAINT,Guyana
Yiu-Chung CHOY,Hong Kong
Siu-On LAW,Hong Kong
Johannes DAAMS,Netherlands
Antonius POELS,Netherlands
Nicolaas VERHOEVEN,Netherlands
Stefano COLAGE,Italy
Roberto PAGNIN,Italy
Renato PICCOLO,Italy
Lorenzo MURDOCH,Jamaica
Chul-Seok KIM,Republic of Korea
Sirop ARSLANIAN,Lebanon
Mustapha AFANDI,Morocco
Brahim BEN-BOUILLA,Morocco
Daniel Jerem KASWANGA,Malawi
Jesus RIOS,Mexico
Hans Petter ODEGAARD,Norway
Roger SUMICH,New Zealand
Ramon ZAVALETA,Peru
Ramon RIVERA,Puerto Rico
Maurizio CASADEI,San Marino
Heinz IMBODEN,Switzerland
Benno WISS,Switzerland
Muharud MUKASA,Uganda
Rolf MILSER,Federal Republic of Germany
Vasile GROAPA,Romania
Pekka NIEMI,Finland
Kevin ROY,Canada
Kenneth CLARK,United States of America
Richard Michael SHANKO,United States of America
Jean Marie KRETZ,France
Sione SIALAOA,Samoa
Olavi BLOMFJORD,Sweden
Peter PINSENT,Great Britain
Oliver OROK,Nigeria
Luis SALINAS,Nicaragua
Petre BECHERU,Romania
Robert KABBAS,Australia
Newton BURROWES,Great Britain
Kang-Seok LEE,Republic of Korea
Allister NALDER,New Zealand
Michael BERNARD,New Zealand
Bertil SOLLEVI,Sweden
Anthony SUPPLE,Great Britain
Juan REJAS,Peru
Giuseppe LAGROTTERIA,Italy
Ricardo SALAS ESPINOZA,Panama
Vasileios STAVRIDIS,Greece
Stefan TASNADI,Romania
Guy Albert CARLTON,United States of America
Albert SQUIRES,Canada
Richard Scott EATON,United States of America
Ioannis GERONTAS,Greece
Olaf PETERS,Federal Republic of Germany
Abuaihuda OZON,Syrian Arab Republic
John KYAZZE,Uganda
Georgios PANAYOTAKIS,Greece
Gary TAYLOR,Great Britain
Ashraf MOHAMED,Egypt
Goran PETTERSSON,Sweden
Dinko LUKIN,Australia
Ioannis TSINTSARIS,Greece
Batholomew OLOUMA,Nigeria
Mosad MOSBAH,Egypt
Serafimos GRAMMATIKOPOULOS,Greece
Ironbar BASSEY,Nigeria
Stefan LAGGNER,Austria
Shu-De WU,China
Run-Ming LAI,China
Masahiro KOTAKA,Japan
Chil-Bong KIM,Republic of Korea
Albert HOOD,United States of America
Ioannis KATSAIDONIS,Greece
Deven GOVINDASAMI,India
Yuh-Chuan CHIU,Chinese Taipei
Nicolas MERCADO,Colombia
Nery MINCHEZ FUENTES,Guatemala
Mehmet ALTIN,Turkey
Gheorghe MAFTEI,Romania
Taoufik MAAOUIA,Tunisia
Ahmed TARBI,Algeria
Hadi WIHARDJA,Indonesia
Jing-Yuan YAO,China
Basilios STELLIOS,Australia
Jian-Ping MA,China
Patrick BASSEY,Nigeria
Gregor BIALOWAS,Austria
Donald Robert Jr. ABRAHAMSON,United States of America
Michael NORELL,Sweden
Surendra HAMAL,Nepal
Antulio DELGADO OGALDEZ,Guatemala
Hatem BOUABID,Tunisia
Claude DALLAIRE,Canada
Guo-Qiang ZENG,China
Pei-Shun ZHOU,China
Hidemi MIYASHIOTA,Japan
Maman SURYAMAN,Indonesia
Hyo-Mun BANG,Republic of Korea
Meir DALOYA,Israel
Mahendran KANNAN,India
Antonio QUINTANA,Colombia
Shen-Yuan CHEN,Chinese Taipei
Sunil Munic SILVA,Sri Lanka
Raul Manuel Correia DINIS,Portugal
Julio SAEZ MARCO,Spain
Mahmoud TARHA,Lebanon
Manikyalu MALLA-VENKATA,India
Nicolaos ILIADIS,Greece
Henri Juncher HOEG,Denmark
Jose GARCES,Mexico
Josef SPAN,Austria
Wen-Guang MA,China
Francisco COELHO,Portugal
Daniel TSCHAN,Switzerland
Maged MOHAMED,Egypt
Emmanuel OSHOMAH,Nigeria
Klaus-Goran NILSSON,Sweden
Salem AJJOUB,Syrian Arab Republic
Jaime MOLINA,Peru
Emila L. HUCH,Samoa
Ibrahim SHABAN,Egypt
Erich SEIDL,Austria
Cheol-Hyeon KIM,Republic of Korea
Karl-Heinz RADSCHINSKY,Federal Republic of Germany
Jacques DEMERS,Canada
Dragomir CIOROSLAN,Romania
Shun-Zhu LI,China
Anthony PIGNONE,Australia
Chun-Jong PARK,Republic of Korea
Michel PIETRACUPA,Canada
Daniel CASSIAU-HAURIE,France
Steve PINSENT,Great Britain
Pavlos LESPOURIDIS,Greece
Iordanis ILIOUDIS,Greece
Gilberto MERCADO,Colombia
Ahmed Fouad ALY,Egypt
Young-Jae PARK,Republic of Korea
Fred BUNJO,Uganda
Roman KAINZ,Austria
Hasan HAS,Turkey
Wei-Qiang CHEN,China
Gelu RADU,Romania
Kaoru WABIKO,Japan
Myung-Su LEE,Republic of Korea
Sori Enda NASUTION,Indonesia
Uolevi KAHELIN,Finland
Mircea TULI,Romania
Mohamed YOSAF,Egypt
Geoffrey LAWS,Great Britain
Oscar PALMA,Colombia
Kamalakanta SANTRA,India
Hector HURTADO,Ecuador
Alfredo PALMA,Nicaragua
Guo-Feng WANG,China
Fredy SCHMIDTKE,Federal Republic of Germany
Fabrice COLAS,France
Craig ADAIR,New Zealand
David WELLER,Jamaica
Stefano BAUDINO,Italy
Heinz ISLER,Switzerland
Rolf Morgan HANSEN,Norway
Marcelo GREUEL,Brazil
Tsutomu SAKAMOTO,Japan
Max RAINSFORD,Australia
Claus Sylvest RASMUSSEN,Denmark
Mark BARRY,Great Britain
Charles PILE,Barbados
Rodolfo GUAVES,Philippines
Ernest MOODIE,Cayman Islands
Leonard RICHARDSON,Antigua and Barbuda
Roger ILEGEMS,Belgium
Jörg MÜLLER,Switzerland
Glenn CLARKE,Australia
Derk Jan VAN EGMOND,Netherlands
Michael MARKUSSEN,Denmark
Alexander STIEDA,Canada
Rudolf CEYSSENS,Belgium
Didier GARCIA,France
Balbino JARAMILLO,Colombia
Stefano ALLOCCHIO,Italy
William PALACIOS,Colombia
Gary TREVISIOL,Canada
Manfred DONIKE,Federal Republic of Germany
Juan Carlos HAEDO,Argentina
Eric LOUVEL,France
Stephan JOHO,Switzerland
Elisha HUGHES,Antigua and Barbuda
Ian STANLEY,Jamaica
Rolf GOLZ,Federal Republic of Germany
Leonard Harvey NITZ,United States of America
Jorgen PEDERSEN,Denmark
Jelle NIJDAN,Netherlands
Michael GRENDA,Australia
Roberto CALOVI,Italy
Anthony CUFF,New Zealand
Carlos GARCIA GONZALEZ,Uruguay
Pedro Omar CAINO,Argentina
Chin-Te HSU,Chinese Taipei
Eduardo CUEVAS,Chile
Ingo WITTENBORN,Federal Republic of Germany
Mark Brian GORSKI,United States of America
Nelson Beasley VAILS,United States of America
Philippe VERNET,France
Gerhard SCHELLER,Federal Republic of Germany
Kenrick TUCKER,Australia
Miwako MOTOYOSHI,Japan
Marijke ENGELEN,Netherlands
Gudrun HANISCH,Federal Republic of Germany
Caroline HOLMYARD,Great Britain
Ana AMICARELLA,Venezuela
Alexandra WORISCH,Austria
Chemene SINSON,Barbados
Donella BURRIDGE,Australia
Antonella TERENZI,Italy
Dahlia MOKBEL,Egypt
Rosa COSTA,Spain
Sharon HAMBROOK,Canada
Kelly KRYCZKA,Canada
Candace COSTIE,United States of America
Carolyn WILSON,Great Britain
Saeko KIMURA,Japan
Kazuno FUJIWARA,Japan
Pilar RAMIREZ LAGUNA,Mexico
Caroline STÜRZENEGGER,Switzerland
Claudia NOVELO,Mexico
Catrien EIJKEN,Netherlands
Marjolein PHILIPSEN,Netherlands
Pascale BESSON,France
Teresa CARVALHO,Brazil
Christine LANG,Federal Republic of Germany
Odile PETIT,France
Eva Maria EDINGER,Austria
Lynette SADLEIR,New Zealand
Maribel SOLIS,Dominican Republic
Catherine SADLEIR,New Zealand
Lisa STEANES,Australia
Monica ANTICH,Spain
Ximena CARIAS,Dominican Republic
Katia OVERFELDT,Belgium
Sabar YOUSSEF,Egypt
Nicole HOEVERTSZ,Netherlands Antilles
Esther CROES,Netherlands Antilles
Barthold Wayne CONNER,United States of America
Nobuyuki KAJITANI,Japan
Mitchell Jay GAYLORD,United States of America
Fei TONG,China
Koji GUSHIKEN,Japan
Jürgen GEIGER,Federal Republic of Germany
Daniel WINKLER,Federal Republic of Germany
Mary-Lou RETTON,United States of America
Ecaterina SZABO,Romania
Simona PAUCA,Romania
Julianne Lyn MCNAMARA,United States of America
Laura CUTINA,Romania
Yan-Hong MA,China
Ping ZHOU,China
Youg-Yan CHEN,China
Rose-Marie KESSLER,Switzerland
Maiko MORIO,Japan
Anja WILHELM,Federal Republic of Germany
Bonnie WITTMEIER,Canada
Andrea THOMAS,Canada
Noriko MOCHIZUKI,Japan
Anita BOTNEN,Canada
Chihiro OYAGI,Japan
Nasthalie DAVIES,Great Britain
Laura BORTOLASO,Italy
Ana Olvido MANSO GALLEGO,Spain
Amanda HARRISON,Great Britain
Astrid BECKERS,Federal Republic of Germany
Kathleen WILLIAMS,Great Britain
Marta ARTIGAS MASNEN,Spain
Tatiana FIGUEIREDO,Brazil
Florence LABORDERIE,France
Natalie SEILER,Switzerland
Jung-Hee LEE,Republic of Korea
Nancy GOLDSMITH,Israel
Corinne RAGAZZACCI,France
Kerri BATTERSBY,Australia
Kellie WILSON,Australia
Lena ADOMAT,Sweden
Elke HEINE,Federal Republic of Germany
Peter Glen VIDMAR,United States of America
Noritoshi HIRATA,Japan
Markus LEHMAN,Switzerland
Tae-Eun CHANG,Republic of Korea
Emilian NECULA,Romania
Jean-Luc CAIRON,France
Valentin PINTEA,Romania
Andreas JAPTOK,Federal Republic of Germany
Philippe CHARTRAND,Canada
Warren LONG,Canada
